Generation 0:
Agg: 0.49995000499950004, Lines: 4.999500049995001e-05, Holes: 0.49995000499950004, Bump: -4.999500049995001e-05, Multi: 0.0, Fitness: 0
Agg: -0.19966970519051444, Lines: 0.14819732486006348, Holes: -0.2999236335871648, Bump: -0.1157930466420638, Multi: 0.23641628972019355, Fitness: 4120
Agg: -0.1409786765796699, Lines: 0.16989435414954182, Holes: -0.32652527253757696, Bump: -0.08479424555372696, Multi: 0.27780745117948435, Fitness: 2340
Agg: -0.1511535988889165, Lines: 0.16200503171000646, Holes: -0.33907284874276217, Bump: -0.1230485244885366, Multi: 0.22471999616977834, Fitness: 4880
Agg: -0.14591842452290618, Lines: 0.19245217649155022, Holes: -0.2877535270341967, Bump: -0.09881232467360818, Multi: 0.2750635472777388, Fitness: 2860
Agg: -0.17236917206321686, Lines: 0.14131769161727828, Holes: -0.3899622145499485, Bump: -0.08849712382435666, Multi: 0.20785379794519965, Fitness: 1530
Agg: -0.2622930989445514, Lines: 0.11115121245322576, Holes: -0.3356615730078647, Bump: -0.09150763399937925, Multi: 0.19938648159497893, Fitness: 1480
Agg: -0.010074360438167089, Lines: 0.33037882087493536, Holes: -0.22964724328034788, Bump: -0.1863383493280292, Multi: 0.24356122607852038, Fitness: 0
Agg: -0.12326182365890495, Lines: 0.24309367601009543, Holes: -0.29352677877428013, Bump: -0.11513172305968532, Multi: 0.22498599849703402, Fitness: 4540
Agg: -0.003415755646992354, Lines: 0.08204682657895565, Holes: -0.2608670829105261, Bump: -0.42322710014394926, Multi: 0.23044323471957656, Fitness: 0

Best from Generation 3
Agg: -0.13415258464683028, Lines: 0.22869987084849192, Holes: -0.40247889495376454, Bump: -0.0664996314444796, Multi: 0.16816901810643378, Fitness: 7730
Agg: -0.13415258464683028, Lines: 0.22869987084849192, Holes: -0.40247889495376454, Bump: -0.0664996314444796, Multi: 0.16816901810643378, Fitness: 7730




Generation 0:
Agg: -0.25, Lines: 0.25, Holes: -0.25, Bump: -0.25, Multi: 0.0, Fitness: 670
Agg: -9.997000899730082e-05, Lines: 0.9997000899730081, Holes: -9.997000899730082e-05, Bump: -9.997000899730082e-05, Multi: 0.0, Fitness: 1170
Agg: -0.25, Lines: 0.25, Holes: -0.25, Bump: -0.25, Multi: 0.0, Fitness: 1100
Agg: -0.33332222259258026, Lines: 3.333222225925803e-05, Holes: 0.33332222259258026, Bump: -0.33332222259258026, Multi: 0.0, Fitness: 20
Agg: -3.333222225925803e-05, Lines: 0.33332222259258026, Holes: 0.33332222259258026, Bump: -0.33332222259258026, Multi: 0.0, Fitness: 0
Agg: -0.25, Lines: 0.25, Holes: -0.25, Bump: 0.25, Multi: 0.0, Fitness: 20
Agg: -4.999500049995001e-05, Lines: -0.49995000499950004, Holes: -0.49995000499950004, Bump: -4.999500049995001e-05, Multi: 0.0, Fitness: 0
Agg: 0.3333222225925802, Lines: -0.3333222225925802, Holes: -0.3333222225925802, Bump: -3.333222225925802e-05, Multi: 0.0, Fitness: 0
Agg: 0.25, Lines: 0.25, Holes: -0.25, Bump: -0.25, Multi: 0.0, Fitness: 0
Agg: 0.25, Lines: -0.25, Holes: 0.25, Bump: 0.25, Multi: 0.0, Fitness: 0
Agg: 0.49995000499949993, Lines: 0.49995000499949993, Holes: -4.9995000499949994e-05, Bump: -4.9995000499949994e-05, Multi: 0.0, Fitness: 20
Agg: -4.999500049995001e-05, Lines: 4.999500049995001e-05, Holes: -0.49995000499950004, Bump: -0.49995000499950004, Multi: 0.0, Fitness: 270
Agg: 0.25, Lines: -0.25, Holes: 0.25, Bump: -0.25, Multi: 0.0, Fitness: 30
Agg: -3.333222225925803e-05, Lines: 0.33332222259258026, Holes: -0.33332222259258026, Bump: 0.33332222259258026, Multi: 0.0, Fitness: 0
Agg: -0.25, Lines: -0.25, Holes: 0.25, Bump: 0.25, Multi: 0.0, Fitness: 20

Best from Generation 0
Agg: -9.997000899730082e-05, Lines: 0.9997000899730081, Holes: -9.997000899730082e-05, Bump: -9.997000899730082e-05, Multi: 0.0, Fitness: 1170
Agg: -9.997000899730082e-05, Lines: 0.9997000899730081, Holes: -9.997000899730082e-05, Bump: -9.997000899730082e-05, Multi: 0.0, Fitness: 1170

Generation 1:
Agg: -9.997000899730082e-05, Lines: 0.9997000899730081, Holes: -9.997000899730082e-05, Bump: -9.997000899730082e-05, Multi: 0.0, Fitness: 420
Agg: -9.997000899730082e-05, Lines: 0.9997000899730081, Holes: -9.997000899730082e-05, Bump: -9.997000899730082e-05, Multi: 0.0, Fitness: 0
Agg: -9.997000899730082e-05, Lines: 0.9997000899730081, Holes: -9.997000899730082e-05, Bump: -9.997000899730082e-05, Multi: 0.0, Fitness: 1100
